Specimen properties : Thickness,5.14,mm
Specimen properties : Width,12.57,mm
Specimen properties : Specimen label,pmma,
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.21396
0.5,0.03184,111.03435
1,0.06527,219.21715
1.5,0.09867,322.70609
2,0.13202,423.47772
2.5,0.16526,521.61438
3,0.19871,618.95868
3.5,0.23201,714.02814
4,0.26543,808.45551
4.5,0.29859,900.48901
5,0.33188,991.46393
5.5,0.3652,1081.57922
6,0.39853,1170.42175
6.5,0.43199,1258.58057
7,0.46532,1345.07385
7.5,0.49865,1430.16736
8,0.53197,1514.07556
8.5,0.56537,1597.25562
9,0.59867,1678.99463
9.5,0.63206,1759.74878
10,0.66528,1838.56372
10.5,0.69852,1916.27271
11,0.73185,1993.37305
11.5,0.76526,2069.22729
12,0.79869,2144.11865
12.5,0.83198,2217.49097
13,0.86528,2289.7583
13.5,0.89859,2360.77637
14,0.93204,2431.0918
14.5,0.96542,2499.96777
15,0.99855,2566.77393
15.5,1.03189,2632.81006
16,1.06523,2697.92188
16.5,1.09864,2761.97119
17,1.13193,2824.56421
17.5,1.16534,2886.37231
18,1.19858,2946.5127
18.5,1.23199,3005.91431
19,1.26528,3063.99121
19.5,1.29871,3121.18433
20,1.33206,3177.229
20.5,1.36523,3231.60889
20.657,1.37655,-4.62408
